bucket,number,state,resolution_class,solved,is_meta,signal_score,relevancy_score,combined_score,n_comments,n_participants,n_xref_merged_prs,reactions_total,reopened,labels,created_at,title,url
3,2720,closed,fixed_merged_pr,True,False,0.6794,0.97,0.8247,18,3,2,2,1,bug,2025-11-28T15:02:12Z,PX4 SITL MAVSDK test seg faulting,https://github.com/mavlink/MAVSDK/issues/2720
3,2852,closed,fixed_merged_pr,True,False,0.6088,0.95,0.7794,10,2,3,0,1,,2026-04-07T17:47:21Z,Mavsdk and Ros2 causes nondescript segfault,https://github.com/mavlink/MAVSDK/issues/2852
3,836,closed,fixed_merged_pr,True,False,0.5705,0.97,0.7702,14,3,1,0,0,bug|help wanted,2019-08-12T07:52:46Z,Protobuf fails to build on RPi,https://github.com/mavlink/MAVSDK/issues/836
3,1673,closed,fixed_merged_pr,True,False,0.6523,0.8632,0.7577,19,3,1,0,1,bug|ci,2022-01-18T13:49:00Z,package architecture (amd64) does not match system (arm64),https://github.com/mavlink/MAVSDK/issues/1673
3,2648,closed,fixed_merged_pr,True,False,0.5167,0.95,0.7333,7,2,1,1,0,,2025-09-08T15:37:28Z,mavlink_direct: Message filtering not working in subscribe_message (v3.10.1),https://github.com/mavlink/MAVSDK/issues/2648
3,2691,closed,fixed_merged_pr,True,False,0.6154,0.8441,0.7297,18,4,2,0,0,,2025-10-23T23:10:21Z,Document/support process for using custom mavlink dialect,https://github.com/mavlink/MAVSDK/issues/2691
3,2374,closed,fixed_merged_pr,True,False,0.5573,0.894,0.7257,12,3,2,0,0,,2024-08-15T21:36:18Z,Build From Source Failure (Raspbian OS),https://github.com/mavlink/MAVSDK/issues/2374
3,931,closed,answered,True,False,0.6129,0.8313,0.7221,14,5,0,0,0,,2019-12-15T18:28:02Z,How to connect mavsdk-server to multiple devices?,https://github.com/mavlink/MAVSDK/issues/931
1,1665,open,open,,False,0.629,0.796,0.7125,22,6,0,0,0,question,2022-01-11T04:43:46Z,MAVSDK collision avoidance,https://github.com/mavlink/MAVSDK/issues/1665
3,2392,closed,answered,True,False,0.4741,0.95,0.712,11,4,0,0,0,,2024-09-04T11:38:55Z,mavsdk_server doesn't check if the server it is connected to is MavSDK.,https://github.com/mavlink/MAVSDK/issues/2392
3,2489,closed,fixed_merged_pr,True,False,0.5496,0.8686,0.7091,10,3,1,0,0,,2025-01-03T01:54:25Z,SSL error building/configuring library on Ubuntu 22.04 in WSL2 and building docs,https://github.com/mavlink/MAVSDK/issues/2489
3,1852,closed,fixed_merged_pr,True,False,0.56,0.8385,0.6993,7,4,2,0,0,enhancement,2022-07-12T13:45:27Z,Telemetry::Health::is_global_position_ok does not gurarantee that global position estimate is ok,https://github.com/mavlink/MAVSDK/issues/1852
3,353,closed,answered,True,False,0.665,0.7244,0.6947,17,5,0,0,0,,2018-04-07T12:59:59Z,Problems connecting to multiple PX4s in SITL,https://github.com/mavlink/MAVSDK/issues/353
3,1956,closed,self_resolved,True,False,0.4913,0.8978,0.6946,15,4,0,0,0,,2023-01-12T02:30:23Z,mavsdk_server build fail ,https://github.com/mavlink/MAVSDK/issues/1956
3,885,closed,fixed_merged_pr,True,False,0.5879,0.7933,0.6906,13,3,1,0,0,question,2019-10-22T20:35:54Z,Landed State is jumping between modes,https://github.com/mavlink/MAVSDK/issues/885
3,2100,closed,fixed_stated,True,False,0.4193,0.95,0.6846,5,3,0,0,0,more_info_needed,2023-07-19T03:22:00Z,get params segmentation fault,https://github.com/mavlink/MAVSDK/issues/2100
3,977,closed,fixed_merged_pr,True,False,0.5206,0.844,0.6823,7,2,2,0,1,bug,2020-01-29T10:25:06Z,unit_tests_backend stall ,https://github.com/mavlink/MAVSDK/issues/977
3,728,closed,fixed_merged_pr,True,False,0.8211,0.542,0.6816,39,14,2,6,0,enhancement,2019-04-23T13:11:27Z,Adding support for ArduPilot,https://github.com/mavlink/MAVSDK/issues/728
3,2075,closed,fixed_merged_pr,True,False,0.5226,0.838,0.6803,8,3,1,0,0,,2023-06-09T05:07:02Z,SIGABRT when destructing mavsdk,https://github.com/mavlink/MAVSDK/issues/2075
3,2665,closed,fixed_merged_pr,True,False,0.6352,0.7214,0.6783,10,4,1,1,0,enhancement,2025-09-26T13:34:25Z,Proper way to build with superbuild off?,https://github.com/mavlink/MAVSDK/issues/2665
3,1263,closed,answered,True,False,0.4387,0.914,0.6764,18,3,0,0,0,bug,2020-11-23T07:17:33Z,Consecutive param sets trigger exception,https://github.com/mavlink/MAVSDK/issues/1263
3,2027,closed,answered,True,False,0.5167,0.8307,0.6737,13,5,0,0,0,,2023-04-25T07:38:47Z,Problem with TCP connection to a PX4 SITL,https://github.com/mavlink/MAVSDK/issues/2027
3,1683,closed,fixed_merged_pr,True,False,0.5104,0.8365,0.6734,13,3,1,0,0,question,2022-01-20T13:55:31Z,Handling of MAVLINK params,https://github.com/mavlink/MAVSDK/issues/1683
